Product_Name,Caffeine_Content_mg,Price_USD,Country,Sugar_Content_g,product_id
Energy Drink S 81,294.7,9.99,South Korea,0.4,2186
Energy Drink Q 25,203.4,8.69,France,42.8,890
Energy Drink O 20,207.3,8.33,France,16.6,1586
Energy Drink G 6,270.8,8.77,Canada,43.1,882
Energy Drink P 90,237.7,9.13,UK,41.8,2182
Energy Drink Q 84,143.3,9.36,Japan,45.7,2244
Energy Drink H 50,153.9,4.32,UK,32.6,1893
Energy Drink E 44,82.3,4.26,USA,34.2,982
Energy Drink H 21,101.6,1.99,Japan,37.2,2394
Energy Drink R 23,135.8,6.35,Japan,44.3,3871
Energy Drink I 18,101.8,6.26,South Korea,39.0,1770
Energy Drink B 73,240.6,8.69,Canada,31.7,778
Energy Drink T 98,177.2,6.17,South Korea,16.4,1119
Energy Drink I 37,266.9,9.18,UK,27.2,688
Energy Drink O 5,246.7,6.99,Germany,26.1,412
Energy Drink X 69,215.2,1.17,Germany,46.5,834
Energy Drink M 75,175.6,3.51,UK,2.2,3310
Energy Drink G 21,70.7,8.23,South Korea,2.4,1231
Energy Drink M 17,285.0,8.91,Germany,23.3,2580
Energy Drink B 76,155.7,2.4,USA,22.1,1467
Energy Drink W 17,298.2,9.13,Germany,8.9,996
Energy Drink M 57,298.4,2.71,South Korea,39.1,477
Energy Drink C 56,266.2,6.79,Canada,38.9,3915
Energy Drink R 35,143.4,7.48,France,30.9,973
Energy Drink U 71,132.1,8.57,Japan,2.8,3590
Energy Drink W 3,75.7,9.77,Japan,48.8,231
Energy Drink A 94,238.1,3.67,UK,48.1,769
Energy Drink H 56,79.5,8.38,South Korea,28.2,747
Energy Drink P 85,188.1,2.25,France,28.8,2943
Energy Drink U 96,66.3,8.0,South Korea,2.7,640
Energy Drink Q 79,170.4,8.37,USA,37.8,287
Energy Drink K 51,185.4,8.33,South Korea,47.3,2248
Energy Drink V 42,245.6,2.58,Canada,18.5,1007
Energy Drink X 80,208.7,6.3,France,48.6,2410
Energy Drink C 48,214.8,9.22,Japan,31.7,3311
Energy Drink A 54,210.5,4.91,France,36.6,224
Energy Drink V 16,82.5,5.32,USA,32.7,3040
Energy Drink U 46,117.5,3.41,USA,21.8,2827
Energy Drink Y 75,136.5,1.08,USA,44.7,2906
Energy Drink H 79,112.0,4.91,Germany,46.0,1229
Energy Drink R 39,127.4,9.7,Japan,3.1,1071
Energy Drink L 88,126.7,1.99,Canada,21.4,2245
Energy Drink U 49,203.4,1.56,Canada,47.3,2418
Energy Drink W 69,166.5,7.47,UK,29.3,3841
Energy Drink U 1,233.6,9.55,South Korea,9.9,1608
Energy Drink P 8,71.6,8.98,USA,2.6,368
Energy Drink F 70,129.0,6.96,USA,48.2,3634
Energy Drink I 99,245.2,6.27,USA,11.8,2082
Energy Drink A 77,188.1,6.59,Germany,5.0,721
Energy Drink R 67,189.8,3.68,South Korea,37.3,361
Energy Drink Q 25,75.1,8.69,Canada,25.3,3527
Energy Drink E 64,177.0,8.07,Japan,19.8,120
Energy Drink R 33,127.6,2.12,South Korea,23.9,69
Energy Drink J 71,87.4,9.79,France,38.2,2050
Energy Drink S 94,221.5,6.98,USA,18.3,1981
Energy Drink L 3,188.6,1.38,South Korea,43.2,3555
Energy Drink U 36,163.0,3.16,France,0.7,2369
Energy Drink O 76,125.2,5.97,Germany,42.3,529
