Date_key,Dates,Day_name,Month_name,Year_name
19900101,1990-01-01,Monday,January,1990
19900102,1990-01-02,Tuesday,January,1990
19900103,1990-01-03,Wednesday,January,1990
19900104,1990-01-04,Thursday,January,1990
19900105,1990-01-05,Friday,January,1990
19900106,1990-01-06,Saturday,January,1990
19900107,1990-01-07,Sunday,January,1990
19900108,1990-01-08,Monday,January,1990
19900109,1990-01-09,Tuesday,January,1990
19900110,1990-01-10,Wednesday,January,1990
19900111,1990-01-11,Thursday,January,1990
19900112,1990-01-12,Friday,January,1990
19900113,1990-01-13,Saturday,January,1990
19900114,1990-01-14,Sunday,January,1990
19900115,1990-01-15,Monday,January,1990
19900116,1990-01-16,Tuesday,January,1990
19900117,1990-01-17,Wednesday,January,1990
19900118,1990-01-18,Thursday,January,1990
19900119,1990-01-19,Friday,January,1990
19900120,1990-01-20,Saturday,January,1990
19900121,1990-01-21,Sunday,January,1990
19900122,1990-01-22,Monday,January,1990
19900123,1990-01-23,Tuesday,January,1990
19900124,1990-01-24,Wednesday,January,1990
19900125,1990-01-25,Thursday,January,1990
19900126,1990-01-26,Friday,January,1990
19900127,1990-01-27,Saturday,January,1990
19900128,1990-01-28,Sunday,January,1990
19900129,1990-01-29,Monday,January,1990
19900130,1990-01-30,Tuesday,January,1990
19900131,1990-01-31,Wednesday,January,1990
19900201,1990-02-01,Thursday,February,1990
19900202,1990-02-02,Friday,February,1990
19900203,1990-02-03,Saturday,February,1990
19900204,1990-02-04,Sunday,February,1990
19900205,1990-02-05,Monday,February,1990
19900206,1990-02-06,Tuesday,February,1990
19900207,1990-02-07,Wednesday,February,1990
19900208,1990-02-08,Thursday,February,1990
19900209,1990-02-09,Friday,February,1990
19900210,1990-02-10,Saturday,February,1990
19900211,1990-02-11,Sunday,February,1990
19900212,1990-02-12,Monday,February,1990
19900213,1990-02-13,Tuesday,February,1990
19900214,1990-02-14,Wednesday,February,1990
19900215,1990-02-15,Thursday,February,1990
19900216,1990-02-16,Friday,February,1990
19900217,1990-02-17,Saturday,February,1990
19900218,1990-02-18,Sunday,February,1990
19900219,1990-02-19,Monday,February,1990
19900220,1990-02-20,Tuesday,February,1990
19900221,1990-02-21,Wednesday,February,1990
19900222,1990-02-22,Thursday,February,1990
19900223,1990-02-23,Friday,February,1990
19900224,1990-02-24,Saturday,February,1990
19900225,1990-02-25,Sunday,February,1990
19900226,1990-02-26,Monday,February,1990
19900227,1990-02-27,Tuesday,February,1990
19900228,1990-02-28,Wednesday,February,1990
19900301,1990-03-01,Thursday,March,1990
19900302,1990-03-02,Friday,March,1990
19900303,1990-03-03,Saturday,March,1990
19900304,1990-03-04,Sunday,March,1990
19900305,1990-03-05,Monday,March,1990
19900306,1990-03-06,Tuesday,March,1990
19900307,1990-03-07,Wednesday,March,1990
19900308,1990-03-08,Thursday,March,1990
19900309,1990-03-09,Friday,March,1990
19900310,1990-03-10,Saturday,March,1990
19900311,1990-03-11,Sunday,March,1990
19900312,1990-03-12,Monday,March,1990
19900313,1990-03-13,Tuesday,March,1990
19900314,1990-03-14,Wednesday,March,1990
19900315,1990-03-15,Thursday,March,1990
19900316,1990-03-16,Friday,March,1990
19900317,1990-03-17,Saturday,March,1990
19900318,1990-03-18,Sunday,March,1990
19900319,1990-03-19,Monday,March,1990
19900320,1990-03-20,Tuesday,March,1990
19900321,1990-03-21,Wednesday,March,1990
19900322,1990-03-22,Thursday,March,1990
19900323,1990-03-23,Friday,March,1990
19900324,1990-03-24,Saturday,March,1990
19900325,1990-03-25,Sunday,March,1990
19900326,1990-03-26,Monday,March,1990
19900327,1990-03-27,Tuesday,March,1990
19900328,1990-03-28,Wednesday,March,1990
19900329,1990-03-29,Thursday,March,1990
19900330,1990-03-30,Friday,March,1990
19900331,1990-03-31,Saturday,March,1990
19900401,1990-04-01,Sunday,April,1990
19900402,1990-04-02,Monday,April,1990
19900403,1990-04-03,Tuesday,April,1990
19900404,1990-04-04,Wednesday,April,1990
19900405,1990-04-05,Thursday,April,1990
19900406,1990-04-06,Friday,April,1990
19900407,1990-04-07,Saturday,April,1990
19900408,1990-04-08,Sunday,April,1990
19900409,1990-04-09,Monday,April,1990
