Product_Name,Caffeine_Content_mg,Price_USD,Country,Sugar_Content_g
Energy Drink G 68,92.2,5.01,France,1.8
Energy Drink F 33,205.9,8.13,France,39.7
Energy Drink V 72,137.1,2.22,Germany,24.0
Energy Drink R 33,106.8,2.25,Canada,8.0
Energy Drink F 57,148.9,6.55,Germany,10.4
Energy Drink L 19,285.2,3.74,France,11.9
Energy Drink A 80,116.5,2.31,South Korea,9.7
Energy Drink O 73,258.1,1.5,Japan,8.2
Energy Drink F 27,250.1,8.62,Japan,24.1
Energy Drink Q 52,184.4,3.51,Germany,15.7
Energy Drink X 53,177.0,2.32,Japan,38.5
Energy Drink L 31,208.1,5.12,Japan,39.6
Energy Drink E 16,186.1,8.15,Japan,6.1
Energy Drink Z 78,111.2,2.19,Germany,33.8
Energy Drink Q 72,83.0,6.51,USA,22.6
Energy Drink X 31,281.9,5.81,Japan,25.9
Energy Drink D 55,62.9,5.28,Germany,19.0
Energy Drink R 19,188.6,7.24,South Korea,33.8
Energy Drink I 41,210.2,2.53,USA,18.4
Energy Drink R 59,202.1,3.68,Germany,46.1
Energy Drink R 66,72.1,1.05,South Korea,6.0
Energy Drink H 80,134.2,3.45,France,43.4
Energy Drink F 91,201.2,8.51,Canada,13.4
Energy Drink X 58,295.8,5.83,USA,12.4
Energy Drink P 51,280.2,6.81,Germany,13.8
Energy Drink V 73,290.5,6.92,Japan,16.0
Energy Drink Q 5,77.5,6.16,USA,29.8
Energy Drink A 90,124.4,7.99,Germany,19.6
Energy Drink B 86,55.9,6.35,UK,46.3
Energy Drink Q 29,234.2,1.78,Japan,1.7
Energy Drink D 37,280.0,2.28,UK,20.5
Energy Drink S 7,132.4,9.48,France,17.4
Energy Drink B 75,89.6,7.1,Japan,25.6
Energy Drink N 92,52.1,8.15,France,24.1
Energy Drink I 80,89.1,8.19,France,38.3
Energy Drink F 79,70.1,3.12,USA,32.5
Energy Drink G 86,93.7,6.39,France,12.1
Energy Drink S 3,191.4,1.12,Germany,14.2
Energy Drink B 87,175.7,7.41,USA,49.2
Energy Drink I 28,235.8,5.23,Japan,45.8
Energy Drink W 30,164.0,9.63,South Korea,8.6
Energy Drink T 37,277.3,2.0,USA,39.9
Energy Drink A 63,77.7,3.9,Canada,26.4
Energy Drink K 96,206.0,5.01,South Korea,12.9
Energy Drink D 40,177.8,2.64,France,35.0
Energy Drink I 81,281.2,2.37,Germany,41.2
Energy Drink U 59,112.7,7.94,USA,33.9
Energy Drink J 28,263.0,1.95,South Korea,23.7
Energy Drink A 41,267.8,1.23,UK,17.0
Energy Drink Q 44,285.5,4.6,USA,13.6
