payment_id,date,customer_id,employee_id,product_id,Price_USD,price
405341,1998-12-02 00:00:00.000000,763957,1362,2198,4.75,4.75
937354,1998-12-08 00:00:00.000000,602738,15,2198,4.75,4.75
536496,1990-06-18 00:00:00.000000,269975,3742,2198,4.75,4.75
999031,2000-02-26 00:00:00.000000,679769,3742,2198,4.75,4.75
875148,1998-04-16 00:00:00.000000,674560,467,2137,4.88,4.88
969651,2018-01-03 00:00:00.000000,38866,3802,2137,4.88,4.88
242222,1993-12-18 00:00:00.000000,244797,115,2137,4.88,4.88
725859,2019-05-22 00:00:00.000000,973332,1991,2137,4.88,4.88
957086,2005-06-07 00:00:00.000000,871643,355,2137,4.88,4.88
907821,1999-05-09 00:00:00.000000,52853,3158,2137,4.88,4.88
659415,2000-11-11 00:00:00.000000,973470,3817,2137,4.88,4.88
360120,1996-02-18 00:00:00.000000,690327,2378,125,7.41,7.41
114148,1997-03-07 00:00:00.000000,85599,2628,125,7.41,7.41
749910,1991-03-31 00:00:00.000000,760001,3197,125,7.41,7.41
391450,2018-02-22 00:00:00.000000,575608,355,3621,2.55,2.55
922846,2011-07-13 00:00:00.000000,270732,2745,3621,2.55,2.55
489201,2020-03-02 00:00:00.000000,102061,841,3621,2.55,2.55
394945,2014-03-15 00:00:00.000000,645459,787,3621,2.55,2.55
588867,2015-08-29 00:00:00.000000,904688,2335,3621,2.55,2.55
595854,2010-12-10 00:00:00.000000,288772,2050,1169,9.94,9.94
113471,2007-09-10 00:00:00.000000,267490,1930,1169,9.94,9.94
576070,2017-04-13 00:00:00.000000,884239,2335,1169,9.94,9.94
93655,1990-05-31 00:00:00.000000,332500,2525,1169,9.94,9.94
266493,1996-08-30 00:00:00.000000,600164,1627,1266,4.74,4.74
998329,2018-01-09 00:00:00.000000,947754,1568,1266,4.74,4.74
426865,2005-03-22 00:00:00.000000,824394,2378,1266,4.74,4.74
120159,1999-08-10 00:00:00.000000,616468,3197,1266,4.74,4.74
314154,2006-08-08 00:00:00.000000,704775,3460,223,2.88,2.88
254630,2010-12-05 00:00:00.000000,878664,15,223,2.88,2.88
408536,2000-10-13 00:00:00.000000,390310,1853,223,2.88,2.88
270367,2002-08-28 00:00:00.000000,250652,15,223,2.88,2.88
353241,1997-07-22 00:00:00.000000,446754,608,223,2.88,2.88
482879,2017-04-09 00:00:00.000000,264757,3978,516,2.0,2.0
615684,1994-05-11 00:00:00.000000,732185,2499,516,2.0,2.0
432765,2012-02-04 00:00:00.000000,875338,3829,2745,9.26,9.26
223759,2003-06-05 00:00:00.000000,692382,2992,2745,9.26,9.26
194489,2007-06-28 00:00:00.000000,202376,115,2745,9.26,9.26
486788,2007-11-04 00:00:00.000000,100193,1759,2745,9.26,9.26
898621,2020-02-22 00:00:00.000000,500705,1362,2745,9.26,9.26
361695,2019-12-02 00:00:00.000000,64325,3802,1634,5.31,5.31
768869,2005-01-29 00:00:00.000000,746471,1064,1634,5.31,5.31
681074,2011-07-01 00:00:00.000000,393046,1783,1634,5.31,5.31
478327,2005-12-06 00:00:00.000000,316068,3249,1634,5.31,5.31
233437,1998-07-09 00:00:00.000000,342780,2641,1634,5.31,5.31
538120,2000-11-23 00:00:00.000000,289899,3992,1634,5.31,5.31
836885,1993-05-30 00:00:00.000000,576573,2331,109,7.34,7.34
935215,1990-07-20 00:00:00.000000,947754,2628,109,7.34,7.34
320990,2005-06-28 00:00:00.000000,10083,3249,109,7.34,7.34
231762,2003-04-07 00:00:00.000000,955582,3829,757,3.56,3.56
115505,2003-02-28 00:00:00.000000,876020,2884,757,3.56,3.56
25947,2012-12-26 00:00:00.000000,123015,1622,757,3.56,3.56
368693,2017-04-09 00:00:00.000000,247938,1648,757,3.56,3.56
327269,2007-06-02 00:00:00.000000,570234,2280,3417,3.13,3.13
60134,2010-08-23 00:00:00.000000,661768,3992,3417,3.13,3.13
965516,1998-06-23 00:00:00.000000,468033,1362,3417,3.13,3.13
60817,1990-05-05 00:00:00.000000,72648,115,3417,3.13,3.13
32403,1990-09-09 00:00:00.000000,752303,2335,801,7.97,7.97
330771,2001-08-31 00:00:00.000000,407011,1911,801,7.97,7.97
831324,1999-06-21 00:00:00.000000,77910,2731,801,7.97,7.97
633248,2019-04-12 00:00:00.000000,611496,462,801,7.97,7.97
316978,2004-05-29 00:00:00.000000,989115,365,861,3.86,3.86
62967,2003-01-13 00:00:00.000000,370330,462,3549,1.66,1.66
229949,2009-07-20 00:00:00.000000,28605,3475,3549,1.66,1.66
301687,2006-10-04 00:00:00.000000,250652,2697,3549,1.66,1.66
760734,2003-01-03 00:00:00.000000,534112,2641,3549,1.66,1.66
169555,2008-05-18 00:00:00.000000,572858,1759,0,3.07,3.07
641423,2020-09-06 00:00:00.000000,323547,472,0,3.07,3.07
87723,2009-05-25 00:00:00.000000,963557,3331,0,3.07,3.07
164903,2007-02-17 00:00:00.000000,695576,1509,2182,8.88,8.88
841563,1996-01-21 00:00:00.000000,100193,3829,2182,8.88,8.88
968813,2010-11-24 00:00:00.000000,609207,1853,3255,4.33,4.33
468128,2004-05-24 00:00:00.000000,753904,2192,3255,4.33,4.33
240348,2011-04-30 00:00:00.000000,140356,2884,3255,4.33,4.33
850184,1992-08-21 00:00:00.000000,858361,2168,3255,4.33,4.33
73626,2014-12-21 00:00:00.000000,866350,1911,3255,4.33,4.33
616539,2014-12-20 00:00:00.000000,140356,1329,3255,4.33,4.33
812542,1992-12-07 00:00:00.000000,202376,1183,2282,5.22,5.22
65916,2000-09-19 00:00:00.000000,354563,2470,2282,5.22,5.22
210623,2007-12-09 00:00:00.000000,847457,841,2282,5.22,5.22
242525,2017-06-19 00:00:00.000000,716849,3126,43,8.08,8.08
8103,2010-09-24 00:00:00.000000,887192,365,43,8.08,8.08
870740,1995-08-13 00:00:00.000000,565125,462,43,8.08,8.08
719690,1997-09-23 00:00:00.000000,390310,3475,43,8.08,8.08
872405,1999-10-22 00:00:00.000000,568020,3933,43,8.08,8.08
403714,1999-07-17 00:00:00.000000,594861,3868,3105,4.91,4.91
360261,1992-10-04 00:00:00.000000,922587,1859,3105,4.91,4.91
29965,2019-11-26 00:00:00.000000,465623,2731,3105,4.91,4.91
48236,2018-02-04 00:00:00.000000,447870,139,3105,4.91,4.91
689960,2019-12-23 00:00:00.000000,478959,3158,3105,4.91,4.91
665265,1999-05-23 00:00:00.000000,869668,2495,3105,4.91,4.91
876888,2012-07-21 00:00:00.000000,42049,3802,3964,5.87,5.87
929252,1999-08-17 00:00:00.000000,340540,3551,3964,5.87,5.87
33906,1991-11-03 00:00:00.000000,217237,3829,3964,5.87,5.87
467114,2012-12-16 00:00:00.000000,102061,3868,3964,5.87,5.87
280429,1991-03-12 00:00:00.000000,184908,546,3964,5.87,5.87
416664,2018-04-11 00:00:00.000000,285554,2331,3103,6.85,6.85
