Product_Name,Caffeine_Content_mg,Price_USD,Country,Sugar_Content_g,product_id
Energy Drink J 90,62.8,7.57,Japan,36.6,1213
Energy Drink N 74,263.6,1.77,South Korea,29.7,1822
Energy Drink C 84,164.2,6.23,UK,15.2,1287
Energy Drink A 38,186.6,4.82,Canada,21.5,231
Energy Drink Q 57,143.7,7.74,Germany,7.7,571
Energy Drink W 17,226.8,3.3,USA,6.1,3036
Energy Drink T 72,280.7,6.08,Canada,41.3,1486
Energy Drink X 94,151.8,9.75,France,45.6,3306
Energy Drink V 84,201.0,3.75,Germany,45.3,1521
Energy Drink W 72,229.5,3.21,USA,20.4,2738
Energy Drink X 81,95.7,8.98,USA,9.3,1345
Energy Drink F 57,289.4,4.15,UK,17.9,1926
Energy Drink T 98,65.0,5.85,USA,1.9,3688
Energy Drink B 15,239.0,4.0,Canada,34.1,713
Energy Drink C 53,164.5,8.19,UK,32.6,2923
Energy Drink I 65,153.5,6.12,France,5.8,2785
Energy Drink B 86,238.8,3.51,Japan,38.7,3380
Energy Drink T 77,175.5,8.59,France,29.5,1495
Energy Drink B 34,114.0,6.43,South Korea,19.2,1022
Energy Drink T 3,182.5,5.08,France,22.5,768
Energy Drink P 16,155.9,4.65,Germany,41.8,3487
Energy Drink U 80,66.6,7.4,Japan,26.6,138
Energy Drink Y 78,73.5,6.96,Canada,46.4,1744
Energy Drink R 63,137.6,6.31,Japan,18.4,3718
Energy Drink L 19,238.5,9.84,France,25.9,1063
Energy Drink Y 91,95.0,3.82,UK,48.0,407
Energy Drink O 38,242.9,6.83,South Korea,6.8,3705
Energy Drink C 54,199.7,8.67,UK,36.5,313
Energy Drink E 63,158.3,7.59,Japan,45.2,3878
Energy Drink U 9,238.3,1.0,France,13.1,2232
Energy Drink O 96,244.4,6.18,Japan,12.5,490
Energy Drink Q 61,115.0,1.42,Germany,19.5,3792
Energy Drink H 69,138.1,6.62,Japan,37.1,1224
Energy Drink C 43,251.1,9.8,UK,34.3,2383
